Ticker,Name,Weight,Shares,Price
PBCT UW Equity,People's United Financial Inc,--,--,16.75
JOAN UQ Equity,JOANN Inc,--,--,14.89
PDCO UW Equity,Patterson Cos Inc,--,--,30.3
HAYW UN Equity,Hayward Holdings Inc,--,--,24.92
RXDX UW Equity,Prometheus Biosciences Inc,--,--,25.75
QCOM UW Equity,QUALCOMM Inc,--,--,141.19
ROP UN Equity,Roper Technologies Inc,--,--,474.16
ROST UW Equity,Ross Stores Inc,--,--,126.52
VRTS UW Equity,Virtus Investment Partners Inc,--,--,271.9
AN UN Equity,AutoNation Inc,--,--,97.47
CNOB UW Equity,ConnectOne Bancorp Inc,--,--,25.11
SBUX UW Equity,Starbucks Corp,--,--,115.73
KEY UN Equity,KeyCorp,--,--,20.06
STT UN Equity,State Street Corp,--,--,81.9
USB UN Equity,US Bancorp,--,--,56.01
NLOK UW Equity,NortonLifeLock Inc,--,--,27.73
TROW UW Equity,T Rowe Price Group Inc,--,--,203.63
EVER UQ Equity,EverQuote Inc,--,--,32.11
WM UN Equity,Waste Management Inc,--,--,142.77
STZ UN Equity,Constellation Brands Inc,--,--,229.46
XLNX UW Equity,Xilinx Inc,--,--,144.17
XRAY UW Equity,DENTSPLY SIRONA Inc,--,--,63.09
ZION UW Equity,Zions Bancorp NA,--,--,51.72
PBF UN Equity,PBF Energy Inc,--,--,13.68
IVZ UN Equity,Invesco Ltd,--,--,26.02
INTU UW Equity,Intuit Inc,--,--,500.97
MS UN Equity,Morgan Stanley,--,--,90.21
MCHP UW Equity,Microchip Technology Inc,--,--,146.13
CB UN Equity,Chubb Ltd,--,--,161.09
JBL UN Equity,Jabil Inc,--,--,57.08
ORLY UW Equity,O'Reilly Automotive Inc,--,--,580.18
CDXC UR Equity,ChromaDex Corp,--,--,9.33
ALL UN Equity,Allstate Corp/The,--,--,131.7
MCRB UW Equity,Seres Therapeutics Inc,--,--,20.14
EQR UN Equity,Equity Residential,--,--,78.91
ATEN UN Equity,A10 Networks Inc,--,--,11.69
DELL UN Equity,Dell Technologies Inc,--,--,98.37
BWA UN Equity,BorgWarner Inc,--,--,47.82
VIAV UW Equity,Viavi Solutions Inc,--,--,17.3
URBN UW Equity,Urban Outfitters Inc,--,--,39.61
SPG UN Equity,Simon Property Group Inc,--,--,127.64
EMN UN Equity,Eastman Chemical Co,--,--,113.07
AVB UN Equity,AvalonBay Communities Inc,--,--,213.55
PRU UN Equity,Prudential Financial Inc,--,--,100.14
UPS UN Equity,United Parcel Service Inc,--,--,211.29
AIV UN Equity,Apartment Investment and Management Co,--,--,7.01
BRSP UN Equity,BrightSpire Capital Inc,--,--,9.31
MCK UN Equity,McKesson Corp,--,--,189.34
LMT UN Equity,Lockheed Martin Corp,--,--,378.67
ABC UN Equity,AmerisourceBergen Corp,--,--,115.42
COF UN Equity,Capital One Financial Corp,--,--,155.5
WAT UN Equity,Waters Corp,--,--,359.07
DLTR UW Equity,Dollar Tree Inc,--,--,99.1
XPO UN Equity,XPO Logistics Inc,--,--,139.42
DRI UN Equity,Darden Restaurants Inc,--,--,148.88
GBOX UR Equity,GreenBox POS,--,--,11.79
NTAP UW Equity,NetApp Inc,--,--,81.88
CTXS UW Equity,Citrix Systems Inc,--,--,116.06
DVA UN Equity,DaVita Inc,--,--,120.86
FHI UN Equity,Federated Hermes Inc,--,--,33.42
HIG UN Equity,Hartford Financial Services Group Inc/Th,--,--,61.23
IRM UN Equity,Iron Mountain Inc,--,--,42.42
EL UN Equity,Estee Lauder Cos Inc/The,--,--,319.04
ATI UN Equity,Allegheny Technologies Inc,--,--,20.37
SRCL UW Equity,Stericycle Inc,--,--,71.81
ANF UN Equity,Abercrombie & Fitch Co,--,--,45.01
NOV UN Equity,NOV Inc,--,--,14.54
DGX UN Equity,Quest Diagnostics Inc,--,--,133.46
ROK UN Equity,Rockwell Automation Inc,--,--,284
AMT UN Equity,American Tower Corp,--,--,275.73
AMZN UW Equity,Amazon.com Inc,--,--,3675.74
AC UN Equity,Associated Capital Group Inc,--,--,38.18
RL UN Equity,Ralph Lauren Corp,--,--,115.18
BXP UN Equity,Boston Properties Inc,--,--,116.28
APH UN Equity,Amphenol Corp,--,--,69.31
PXD UN Equity,Pioneer Natural Resources Co,--,--,160.96
VLO UN Equity,Valero Energy Corp,--,--,74.7
WU UN Equity,Western Union Co/The,--,--,22.96
CHRW UW Equity,CH Robinson Worldwide Inc,--,--,92.82
ACN UN Equity,Accenture PLC,--,--,305.4
YUM UN Equity,Yum! Brands Inc,--,--,116.25
PLD UN Equity,Prologis Inc,--,--,122.54
CRC UN Equity,California Resources Corp,--,--,28.46
FE UN Equity,FirstEnergy Corp,--,--,37.67
VRSN UW Equity,VeriSign Inc,--,--,231.47
PWR UN Equity,Quanta Services Inc,--,--,87.99
AEE UN Equity,Ameren Corp,--,--,81.4
NVDA UW Equity,NVIDIA Corp,--,--,827.94
WBT UN Equity,Welbilt Inc,--,--,25.02
SEE UN Equity,Sealed Air Corp,--,--,58.23
CTSH UW Equity,Cognizant Technology Solutions Corp,--,--,68.73
ZIOP UW Equity,ZIOPHARM Oncology Inc,--,--,2.53
ISRG UW Equity,Intuitive Surgical Inc,--,--,948.04
CNX UN Equity,CNX Resources Corp,--,--,13.28
RSG UN Equity,Republic Services Inc,--,--,112.22
EBAY UW Equity,eBay Inc,--,--,69.02
KNSA UW Equity,Kiniksa Pharmaceuticals Ltd,--,--,13.75
GS UN Equity,Goldman Sachs Group Inc/The,--,--,369.86
GSKY UW Equity,GreenSky Inc,--,--,5.42
SRE UN Equity,Sempra Energy,--,--,133.37
MCO UN Equity,Moody's Corp,--,--,370.04
BKNG UW Equity,Booking Holdings Inc,--,--,2222.3201
SRRK UW Equity,Scholar Rock Holding Corp,--,--,27.38
FFIV UW Equity,F5 Networks Inc,--,--,189.52
AKAM UW Equity,Akamai Technologies Inc,--,--,117.19
LPRO UQ Equity,Open Lending Corp,--,--,40.91
STTK UW Equity,Shattuck Labs Inc,--,--,27.14
NUAN UW Equity,Nuance Communications Inc,--,--,54.7
KRON UW Equity,Kronos Bio Inc,--,--,22.76
SLM UW Equity,SLM Corp,--,--,20.29
SBSI UW Equity,Southside Bancshares Inc,--,--,36.64
DVN UN Equity,Devon Energy Corp,--,--,27.84
