Ticker,Name,Weight,Shares,Price
RSG UN Equity,Republic Services Inc,--,--,108.8
EBAY UW Equity,eBay Inc,--,--,67.9
KNSA UW Equity,Kiniksa Pharmaceuticals Ltd,--,--,15.03
GS UN Equity,Goldman Sachs Group Inc/The,--,--,368.77
GSKY UW Equity,GreenSky Inc,--,--,5.65
SRE UN Equity,Sempra Energy,--,--,137.47
MCO UN Equity,Moody's Corp,--,--,364.99
BKNG UW Equity,Booking Holdings Inc,--,--,2281.6599
SRRK UW Equity,Scholar Rock Holding Corp,--,--,30.22
FFIV UW Equity,F5 Networks Inc,--,--,189.76
AKAM UW Equity,Akamai Technologies Inc,--,--,116.95
STTK UW Equity,Shattuck Labs Inc,--,--,28.01
NUAN UW Equity,Nuance Communications Inc,--,--,54.52
KRON UW Equity,Kronos Bio Inc,--,--,24.96
SLM UW Equity,SLM Corp,--,--,20.53
SBSI UW Equity,Southside Bancshares Inc,--,--,40.13
DVN UN Equity,Devon Energy Corp,--,--,29.76
GOOGL UW Equity,Alphabet Inc,--,--,2450.1699
APPF UQ Equity,Appfolio Inc,--,--,144.91
TELA UQ Equity,Tela Bio Inc,--,--,15.79
MKTX UW Equity,MarketAxess Holdings Inc,--,--,467.96
ALRM UW Equity,Alarm.com Holdings Inc,--,--,86.3
PRPL UW Equity,Purple Innovation Inc,--,--,27.95
NFLX UW Equity,Netflix Inc,--,--,527.07
A UN Equity,Agilent Technologies Inc,--,--,147.28
ANTM UN Equity,Anthem Inc,--,--,380.82
CME UW Equity,CME Group Inc,--,--,218.12
JNPR UN Equity,Juniper Networks Inc,--,--,27.69
BLK UN Equity,BlackRock Inc,--,--,874.03
DTE UN Equity,DTE Energy Co,--,--,131.27
NDAQ UW Equity,Nasdaq Inc,--,--,178.07
PM UN Equity,Philip Morris International Inc,--,--,99.04
SPRB UW Equity,Spruce Biosciences Inc,--,--,11
CRM UN Equity,salesforce.com Inc,--,--,241.87
MET UN Equity,MetLife Inc,--,--,61.02
GCP UN Equity,GCP Applied Technologies Inc,--,--,23.43
TPR UN Equity,Tapestry Inc,--,--,43.48
FLR UN Equity,Fluor Corp,--,--,18.55
EW UN Equity,Edwards Lifesciences Corp,--,--,103.57
AMP UN Equity,Ameriprise Financial Inc,--,--,248.64
BSBK UR Equity,Bogota Financial Corp,--,--,10.15
ZBH UN Equity,Zimmer Biomet Holdings Inc,--,--,165.85
CBRE UN Equity,CBRE Group Inc,--,--,87.23
NVT UN Equity,nVent Electric PLC,--,--,31.6
MA UN Equity,Mastercard Inc,--,--,379.61
TRTX UN Equity,TPG RE Finance Trust Inc,--,--,14.02
GME UN Equity,GameStop Corp,--,--,209.51
BH/A UN Equity,Biglari Holdings Inc,--,--,770.27
KMX UN Equity,CarMax Inc,--,--,127.4
